plan: 4512 slices, 9.470B positions  [win/draw/loss WITH the fifty-move rule, 2 bits, mirror symmetry]
  tables                 2.20 GiB resident for the whole run
  largest slice          KQRBNkqrbn, 645.8M positions
   50.1%  4124/4512 slices  4.75B/9.47B positions  3.5M/s  23m elapsed, 23m left
   50.4%  4128/4512 slices  4.77B/9.47B positions  3.5M/s  23m elapsed, 22m left
   50.8%  4132/4512 slices  4.81B/9.47B positions  3.5M/s  23m elapsed, 22m left
   51.1%  4133/4512 slices  4.84B/9.47B positions  3.5M/s  23m elapsed, 22m left
   51.3%  4136/4512 slices  4.86B/9.47B positions  3.5M/s  23m elapsed, 22m left
   51.5%  4141/4512 slices  4.87B/9.47B positions  3.5M/s  23m elapsed, 22m left
   51.6%  4144/4512 slices  4.89B/9.47B positions  3.5M/s  23m elapsed, 22m left
   52.1%  4147/4512 slices  4.93B/9.47B positions  3.5M/s  24m elapsed, 22m left
   52.2%  4151/4512 slices  4.94B/9.47B positions  3.5M/s  24m elapsed, 22m left
   52.8%  4152/4512 slices  5.00B/9.47B positions  3.5M/s  24m elapsed, 21m left
   53.0%  4155/4512 slices  5.02B/9.47B positions  3.5M/s  24m elapsed, 21m left
   53.2%  4157/4512 slices  5.04B/9.47B positions  3.5M/s  24m elapsed, 21m left
   53.4%  4159/4512 slices  5.05B/9.47B positions  3.5M/s  24m elapsed, 21m left
   54.1%  4160/4512 slices  5.12B/9.47B positions  3.5M/s  25m elapsed, 21m left
   54.3%  4162/4512 slices  5.14B/9.47B positions  3.5M/s  25m elapsed, 21m left
   54.5%  4163/4512 slices  5.16B/9.47B positions  3.5M/s  25m elapsed, 21m left
   54.7%  4164/4512 slices  5.18B/9.47B positions  3.5M/s  25m elapsed, 21m left
   54.9%  4166/4512 slices  5.20B/9.47B positions  3.5M/s  25m elapsed, 21m left
   55.1%  4167/4512 slices  5.22B/9.47B positions  3.5M/s  25m elapsed, 20m left
   55.9%  4168/4512 slices  5.30B/9.47B positions  3.5M/s  26m elapsed, 20m left
   56.2%  4170/4512 slices  5.32B/9.47B positions  3.5M/s  26m elapsed, 20m left
   56.4%  4171/4512 slices  5.34B/9.47B positions  3.5M/s  26m elapsed, 20m left
   56.8%  4172/4512 slices  5.38B/9.47B positions  3.4M/s  26m elapsed, 20m left
