plan: 4512 slices, 9.470B positions  [win/draw/loss, 2 bits, mirror symmetry]
  tables                 2.20 GiB resident for the whole run
  largest slice          KQRBNkqrbn, 645.8M positions
   88.0%  4446/4512 slices  8.33B/9.47B positions  3.6M/s  38m elapsed, 5m left
   88.3%  4447/4512 slices  8.36B/9.47B positions  3.6M/s  38m elapsed, 5m left
   88.5%  4450/4512 slices  8.38B/9.47B positions  3.6M/s  38m elapsed, 5m left
   89.5%  4451/4512 slices  8.48B/9.47B positions  3.6M/s  39m elapsed, 5m left
   89.8%  4454/4512 slices  8.50B/9.47B positions  3.6M/s  39m elapsed, 4m left
   90.2%  4456/4512 slices  8.54B/9.47B positions  3.6M/s  39m elapsed, 4m left
   90.5%  4457/4512 slices  8.57B/9.47B positions  3.6M/s  39m elapsed, 4m left
   90.7%  4460/4512 slices  8.59B/9.47B positions  3.6M/s  39m elapsed, 4m left
   91.0%  4463/4512 slices  8.61B/9.47B positions  3.6M/s  40m elapsed, 4m left
   91.3%  4465/4512 slices  8.65B/9.47B positions  3.6M/s  40m elapsed, 4m left
   92.5%  4468/4512 slices  8.76B/9.47B positions  3.6M/s  40m elapsed, 3m left
   92.7%  4471/4512 slices  8.78B/9.47B positions  3.6M/s  40m elapsed, 3m left
   93.1%  4473/4512 slices  8.81B/9.47B positions  3.6M/s  41m elapsed, 3m left
   93.3%  4474/4512 slices  8.83B/9.47B positions  3.6M/s  41m elapsed, 3m left
   93.5%  4479/4512 slices  8.86B/9.47B positions  3.6M/s  41m elapsed, 3m left
   93.7%  4481/4512 slices  8.88B/9.47B positions  3.6M/s  41m elapsed, 3m left
   93.9%  4483/4512 slices  8.90B/9.47B positions  3.6M/s  41m elapsed, 3m left
   95.1%  4485/4512 slices  9.00B/9.47B positions  3.6M/s  41m elapsed, 2m left
   95.4%  4488/4512 slices  9.03B/9.47B positions  3.6M/s  42m elapsed, 2m left
   95.6%  4492/4512 slices  9.05B/9.47B positions  3.6M/s  42m elapsed, 2m left
   96.6%  4494/4512 slices  9.15B/9.47B positions  3.6M/s  42m elapsed, 88s left
   96.8%  4497/4512 slices  9.17B/9.47B positions  3.6M/s  42m elapsed, 83s left
   97.9%  4503/4512 slices  9.27B/9.47B positions  3.6M/s  43m elapsed, 56s left
   98.2%  4504/4512 slices  9.30B/9.47B positions  3.6M/s  43m elapsed, 48s left
   98.5%  4505/4512 slices  9.33B/9.47B positions  3.6M/s  43m elapsed, 38s left
   98.9%  4506/4512 slices  9.37B/9.47B positions  3.6M/s  43m elapsed, 28s left
   99.2%  4507/4512 slices  9.39B/9.47B positions  3.6M/s  43m elapsed, 22s left
   99.4%  4508/4512 slices  9.41B/9.47B positions  3.6M/s  43m elapsed, 15s left
   99.8%  4510/4512 slices  9.45B/9.47B positions  3.6M/s  43m elapsed, 6s left
  100.0%  4512/4512 slices  9.47B/9.47B positions  3.6M/s  44m elapsed, 0s left

4512 slices, 9470299328 positions in 44m (3.6M positions/s)
  white wins 1749115229
  black wins 1811602387
  draws      564863491
  illegal    5344718221
  tables     2.20 GiB resident, peak 2.20 GiB transient for one slice
  written to tb12.bin
  mirror symmetry: assumed, not tested (run `retro mirrorcheck`)

checks skipped
